CATEGORIA,CÓD.,DESCRIÇÃO,FORNECEDOR,UN
ACESSÓRIOS,2926A03,Aranha (redinha de fixação do bagageiro),ISAPA,UN
ACESSÓRIOS,2926A01,Bolsa p/Smarphone,ISAPA,UN
ACESSÓRIOS,2926091,Buzina Trim Trim Cromada,ISAPA,UN
ACESSÓRIOS,2926093,"Cadeado 1,0MX12MM ESPIRAL, CHAVE, PTO",ISAPA,UN
ACESSÓRIOS,2926155,CADEADO ONGUARD NEON 815 U-LOCK,ISAPA,UN
ACESSÓRIOS,2926A07,Cadeirinha Dianteira,ISAPA,UN
ACESSÓRIOS,2926A06,Cadeirinha Traseira,ISAPA,UN
ACESSÓRIOS,2926154,CAPA DE CHUVA DELTA FLEX C/ LOGO PERSONALIZADO,DELTA,UN
ACESSÓRIOS,2926A02,Capacete Coquinho,ISAPA,UN
ACESSÓRIOS,2926156,CAPACETE PORTATIL ABSOLUTE NERO WT-012 TODAS AS CORES,ISAPA,UN
ACESSÓRIOS,2600023,CESTA 26 GDE. ACO PTO.C/ALCA SUP/BLC.RAP,ISAPA,UN
ACESSÓRIOS,26R0091,CESTA TIPO VIME 26/24,ISAPA,UN
ACESSÓRIOS,26U0002,Farol JY-359 1 led/pisca alert.,ISAPA,UN
ACESSÓRIOS,2926090,"Pisca Diant./Tras, JY-267-6 PTO C/2 LEDS",ISAPA,PAR
ACESSÓRIOS,2926A04,Retrovisor,ISAPA,UN
ACESSÓRIOS,2600024,SUP. HASTE P/ CESTA ARO 26 OVAL - Tangshan - CHI,ISAPA,UN
ARO,26R0031,Aro Escape 260 Vbrake 26X36F AL Bege,ISAPA,UN
ARO,2600031,Aro Escape 260 Vbrake 26X36F AL Prata Branco,ISAPA,UN
ARO,2600032,Aro Escape 260 Vbrake 26X36F AL Preto,ISAPA,UN
ARO,2900030,Aro VNINE Disc 29X36F Al Pto,ISAPA,UN
BAGAGEIRO,26R0090,"Bagageiro 26 Tubo Grosso, Fixo, Aço PINTADO",ISAPA,UN
BAGAGEIRO,26C0090,"Bagageiro 26 Tubo Grosso, Fixo, Aço PTO",ISAPA,UN
BAGAGEIRO,26U0091,"Bagageiro Flex Articulado, Aço PTO",ISAPA,UN
BLOCAGEM,2926080,"Blocagem de Selim AL, PTO,",ISAPA,UN
CABOS,2926114,Cabo de Marcha,ISAPA,PCT
CABOS,2926100,Cabo Freio ,ISAPA,PCT
CABOS,2926122,Conduíte Encapado PTO SIS SP40 4MMX30MTS,ISAPA,PCT
CABOS,2926102,"Conduíte Preto C/TEFLON 20 METROS: Traseiro 1,46 Marchas 1,86 Dianteiro 0,55",ISAPA,PCT
CABOS,2926109,Terminal Cabo de Aço,ISAPA,PCT
CABOS,2926108,Terminal Conduíte,ISAPA,PCT
CAIXA DE DIREÇÃO,2926041,"Arruela Calço KL-4021 P/AHD AL,PTO 15MM",ISAPA,UN
CAIXA DE DIREÇÃO,2926042,"CAIXA DIR. ZS 1/8"" (OVER) 44/44MM",ISAPA,UN
CAMARA,2600036,CÂMARA 26 X 1.9,ISAPA,UN
CAMARA,2900035,Câmara 29 ,ISAPA,UN
CAMÂRA,2000001,Câmara 20,ISAPA,UN
CAMBIO DIANT.,2900072,Cambio dianteiro tourney: FD-TY510 P/48D 34.9MM T.SWING DUAL PULL AFDTY510TSM6,SHIMANO,UN
CAMBIO TRAS.,2600070,CAMBIO TRAS TOURNEY RD-TZ31-A 7V,SHIMANO,UN
CAMBIO TRAS.,2900070,Cambio Tras TOURNEY TX RD-TX800 PN:ARDTX800SGSL,SHIMANO,UN
CANOTE,2600080,"Canote Selim AL,PTO,26 8X350MM C/CARRINH",ISAPA,UN
CANOTE,2600081,"CANOTE SELIM SUSP AL 80 C/CAR 26,8X350",ISAPA,UN
COBRE CORRENTE,2600155,Cobre Corrente,AZONIC,UN
CORRENTE,2926060,Corrente 1/2X3/32X116 AÇO CARBONO,ISAPA,UN
CUBO,26U0031,CUBO TRAS AL PTO 36F BLOC. DISCO,ISAPA,UN
CUBO,2600033,Cubo traseiro 36F SF-A213 C/ROL. PTO Shunfeng,ISAPA,UN
CUBO,2900032,CUBO traseiro Tourney 36F 8/10V,SHIMANO,UN
CUBO,2600034,Eixo c/ rolamento p/ cubo 26 shufreng,ISAPA,UN
CUBO,2600035,Rolamento p/ cubo 26 shufreng,ISAPA,UN
DESCANSO,2600090,Descanso Lateral ABSOLUTE 26 AL.PTO.C/Fixação.Reg,ISAPA,UN
DESCANSO,2900090,DESCANSO LATERAL Q STAND P/24 A 29,ISAPA,UN
FITA,2600089,FITA ANTI-FURO 31mm 26 AZUL,ISAPA,UN
FITA,2900085,Fita Anti-Furo 35mm 29 Branca,ISAPA,UN
FITA,2926098,"Fita Hellerman 200x4,8mm preta",ISAPA,PCT
FITA,2926105,"Fita PVC 17mm X 0,30mm para Aro",ISAPA,PCT
FREIO,2900050,Disco de Freio dianteiro: DISCO ABSOLUTE YRT01 160MM P/ 6 PARAFUSOS,ISAPA,UN
FREIO,2900051,Disco de Freio traseiro: DISCO ROTOR ALTUS SM-RT30 160M PN:ASMRT30,SHIMANO,UN
FREIO,2600050,Freio V-Brake AL. PTO. Fosco,ISAPA,UN
FREIO,2900056,PASTILHA F.DISCO MEC. S.METAL T. DEORE,SHIMANO,PAR
FREIO,2900052,PINÇA DE FREIO Diant MEC TOURNEY TX PN:ABRTX805FURL,SHIMANO,UN
