CATEGORIA,DESCRIÇÃO,FORNECEDOR,UN,QUANTIDADE,CUSTOUn
ACESSÓRIOS,Aranha (redinha de fixação do bagageiro),ISAPA,UN,0.0,0
ACESSÓRIOS,Bolsa p/Smarphone,ISAPA,UN,0.0,0
ACESSÓRIOS,Buzina Trim Trim Cromada,ISAPA,UN,0.0,0
ACESSÓRIOS,"Cadeado 1,0MX12MM ESPIRAL, CHAVE, PTO",ISAPA,UN,0.0,0
ACESSÓRIOS,CADEADO ONGUARD NEON 815 U-LOCK,ISAPA,UN,0.0,0
ACESSÓRIOS,Cadeirinha Dianteira,ISAPA,UN,0.0,0
ACESSÓRIOS,Cadeirinha Traseira,ISAPA,UN,0.0,0
ACESSÓRIOS,CAPA DE CHUVA DELTA FLEX C/ LOGO PERSONALIZADO,DELTA,UN,0.0,0
ACESSÓRIOS,Capacete Coquinho,ISAPA,UN,0.0,0
ACESSÓRIOS,CAPACETE PORTATIL ABSOLUTE NERO WT-012 TODAS AS CORES,ISAPA,UN,0.0,0
ACESSÓRIOS,CESTA 26 GDE. ACO PTO.C/ALCA SUP/BLC.RAP,ISAPA,UN,0.0,0
ACESSÓRIOS,CESTA TIPO VIME 26/24,ISAPA,UN,0.0,0
ACESSÓRIOS,Farol JY-359 1 led/pisca alert.,ISAPA,UN,0.0,0
ACESSÓRIOS,"Pisca Diant./Tras, JY-267-6 PTO C/2 LEDS",ISAPA,PAR,0.0,0
ACESSÓRIOS,Retrovisor,ISAPA,UN,0.0,0
ACESSÓRIOS,SUP. HASTE P/ CESTA ARO 26 OVAL - Tangshan - CHI,ISAPA,UN,0.0,0
ARO,Aro Escape 260 Vbrake 26X36F AL Bege,ISAPA,UN,0.0,0
ARO,Aro Escape 260 Vbrake 26X36F AL Prata Branco,ISAPA,UN,0.0,0
ARO,Aro Escape 260 Vbrake 26X36F AL Preto,ISAPA,UN,0.0,0
ARO,Aro VNINE Disc 29X36F Al Pto,ISAPA,UN,0.0,0
BAGAGEIRO,"Bagageiro 26 Tubo Grosso, Fixo, Aço PINTADO",ISAPA,UN,0.0,0
BAGAGEIRO,"Bagageiro 26 Tubo Grosso, Fixo, Aço PTO",ISAPA,UN,0.0,0
BAGAGEIRO,"Bagageiro Flex Articulado, Aço PTO",ISAPA,UN,0.0,0
BLOCAGEM,"Blocagem de Selim AL, PTO,",ISAPA,UN,0.0,0
CABOS,Cabo de Marcha,ISAPA,PCT,0.0,0
CABOS,Cabo Freio ,ISAPA,PCT,0.0,0
CABOS,Conduíte Encapado PTO SIS SP40 4MMX30MTS,ISAPA,PCT,0.0,0
CABOS,"Conduíte Preto C/TEFLON 20 METROS: Traseiro 1,46 Marchas 1,86 Dianteiro 0,55",ISAPA,PCT,0.0,0
CABOS,Terminal Cabo de Aço,ISAPA,PCT,0.0,0
CABOS,Terminal Conduíte,ISAPA,PCT,0.0,0
CAIXA DE DIREÇÃO,"Arruela Calço KL-4021 P/AHD AL,PTO 15MM",ISAPA,UN,0.0,0
CAIXA DE DIREÇÃO,"CAIXA DIR. ZS 1/8"" (OVER) 44/44MM",ISAPA,UN,0.0,0
CAMARA,CÂMARA 26 X 1.9,ISAPA,UN,0.0,0
CAMARA,Câmara 29 ,ISAPA,UN,0.0,0
CAMÂRA,Câmara 20,ISAPA,UN,0.0,0
CAMBIO DIANT.,Cambio dianteiro tourney: FD-TY510 P/48D 34.9MM T.SWING DUAL PULL AFDTY510TSM6,SHIMANO,UN,0.0,0
CAMBIO TRAS.,CAMBIO TRAS TOURNEY RD-TZ31-A 7V,SHIMANO,UN,0.0,0
CAMBIO TRAS.,Cambio Tras TOURNEY TX RD-TX800 PN:ARDTX800SGSL,SHIMANO,UN,0.0,0
CANOTE,"Canote Selim AL,PTO,26 8X350MM C/CARRINH",ISAPA,UN,0.0,0
CANOTE,"CANOTE SELIM SUSP AL 80 C/CAR 26,8X350",ISAPA,UN,0.0,0
COBRE CORRENTE,Cobre Corrente,AZONIC,UN,0.0,0
CORRENTE,Corrente 1/2X3/32X116 AÇO CARBONO,ISAPA,UN,0.0,0
CUBO,CUBO TRAS AL PTO 36F BLOC. DISCO,ISAPA,UN,0.0,0
CUBO,Cubo traseiro 36F SF-A213 C/ROL. PTO Shunfeng,ISAPA,UN,0.0,0
